player,shots_on_target_against,goals_against_gk,saves,save_pct,psxg_gk,matchweek
David de Gea,2.0,0.0,2.0,100.0,0.0, (Matchweek 31)
Łukasz Fabiański,4.0,2.0,2.0,50.0,1.5, (Matchweek 38)
Jack Butland,10.0,1.0,9.0,90.0,2.5, (Matchweek 38)
Loris Karius,1.0,0.0,1.0,100.0,0.0, (Matchweek 38)
Mathew Ryan,10.0,4.0,6.0,60.0,4.6, (Matchweek 38)
Nick Pope,5.0,2.0,3.0,60.0,2.3, (Matchweek 38)
Asmir Begović,4.0,1.0,3.0,75.0,1.1, (Matchweek 38)
Wayne Hennessey,1.0,0.0,1.0,100.0,0.0, (Matchweek 38)
Ben Foster,5.0,2.0,3.0,60.0,2.8, (Matchweek 38)
Adrián,7.0,1.0,5.0,85.7,1.8, (Matchweek 38)
Jordan Pickford,4.0,3.0,1.0,25.0,1.7, (Matchweek 38)
Jonas Lössl,4.0,1.0,3.0,75.0,2.1, (Matchweek 38)
David Ospina,3.0,0.0,3.0,100.0,0.3, (Matchweek 38)
Martin Dúbravka,2.0,0.0,2.0,100.0,0.9, (Matchweek 38)
Thibaut Courtois,7.0,3.0,4.0,57.1,2.6, (Matchweek 38)
Sergio Romero,4.0,0.0,4.0,100.0,1.5, (Matchweek 38)
Heurelho Gomes,1.0,1.0,0.0,0.0,0.1, (Matchweek 38)
Alex McCarthy,2.0,1.0,1.0,50.0,0.6, (Matchweek 38)
Claudio Bravo,2.0,0.0,2.0,100.0,0.4, (Matchweek 38)
Hugo Lloris,9.0,4.0,5.0,55.6,3.7, (Matchweek 38)
Eldin Jakupović,6.0,5.0,2.0,16.7,2.8, (Matchweek 38)
